,post,pre,subject,group,log2fc,MTOR,FST,MYOD1,MSTN,AKT1,MYOG,FST,IGF1,IGF1,IGF1,IGF1,MTOR,FST,IGF1
47,GSM1174136,GSM1174137,S354,E,Log2FC_GSM1174136_GSM1174137,0.08392588935370604,-0.5788170685435441,-0.4274469243460004,-1.8014117330450556,0.2830085384978416,0.06915569812403888,-0.3027723964140874,-0.5408116423769727,-0.5039658807210472,-0.2873706875776083,-1.066837804906676,0.03273855365852185,-1.7183835864590016,3.529899842132864
48,GSM1174138,GSM1174139,S356,F,Log2FC_GSM1174138_GSM1174139,0.2022410597238391,0.1878138502377702,-0.23376561012969255,0.09308948086110647,0.018163044305982368,-0.8473760168170665,-0.39352180314563956,-0.36370699470641643,-0.27368562772601557,-0.018126984137875723,0.6876845032044585,-0.07290071871000858,-0.08998851591152057,-0.3718423408637528
49,GSM1174140,GSM1174141,S357,F,Log2FC_GSM1174140_GSM1174141,0.05038871422639524,0.25104856258898334,-0.3870471887871503,-1.273915109794248,0.5990455596724615,0.8552036154154994,0.5775080492099645,0.33024193029431537,0.500098940420127,-0.22338146096977063,-0.3917102156344603,-1.1531796628589186,0.22858716201532747,-0.44300824045174325
50,GSM1174142,GSM1174143,S359,E,Log2FC_GSM1174142_GSM1174143,0.16442481207490012,-0.5986597687975035,-0.7217068198622432,-1.9101544608056145,0.6089720288955505,-0.24973706983351018,0.21758458305431105,-0.521381953402317,-0.5747192838591424,-0.031033043260104698,-1.0376674355210023,-0.5649978527085184,-0.7721440983706316,1.0668752309703513
51,GSM1174144,GSM1174145,S361,F,Log2FC_GSM1174144_GSM1174145,-0.10296030807993972,-0.6277610653014287,0.5563489737812661,-0.38350237987564206,0.16813749122253352,0.1786785612992201,-0.3447777009147446,-0.07274745003854921,-0.2453918841701377,0.08080857376764872,0.13299574083417198,0.3185812127558405,-0.4953035457052497,-1.2477230740840972
52,GSM1174146,GSM1174147,S366,F,Log2FC_GSM1174146_GSM1174147,0.02475867308744384,-0.260865294396587,-0.7939281561300833,0.18092683964873402,0.26683255637371417,-0.3327420006300148,-0.331356169310558,-0.3127934605359588,-0.43013915924592716,-1.3498330433383918,-1.0471210391441756,0.16396401414976403,-0.598616632552992,1.1659584046436722
53,GSM1174148,GSM1174149,S367,F,Log2FC_GSM1174148_GSM1174149,0.3655394712680078,-0.2283858262403804,-3.140321370764809e-05,-1.3283722025150695,0.4392647217319814,-0.1653239198650569,-0.212994285041324,0.26374825952271586,0.3181515665303678,0.32942778562363095,0.5052802505744278,-1.0137063787792133,-0.5124575056313425,-1.6937016643873906
54,GSM1174150,GSM1174151,S379,E,Log2FC_GSM1174150_GSM1174151,0.03476929358226322,1.447248970382808,1.603839686842094,-0.17810253541287047,-0.05512703178012046,1.2791319954602027,0.981159617605714,-0.5800808086334985,-0.6832883481886984,-1.0186376680674485,-0.24710492515704008,-0.6270963496936068,2.179952056232212,1.0367422524627927
55,GSM1174152,GSM1174153,S387,E,Log2FC_GSM1174152_GSM1174153,0.2727616486526365,1.317746227306694,0.7658277190855625,-1.1772579670461099,-0.11901992896069835,1.5800747338191217,1.1912648542798099,-0.05746629088759203,-0.08186984959547772,-0.7039009907867095,-0.6469327758346362,-0.39110379077941637,1.3048984119799005,-0.09860809125485881
56,GSM1174154,GSM1174155,S401,F,Log2FC_GSM1174154_GSM1174155,-2.1514494780012914,-2.4026453083947725,-3.8009075932714955,-4.019464082132417,-3.8597351258260835,-3.228156240975962,-1.3912871737315329,-2.8443067174429135,-3.323851195457335,-1.1006758324070844,-0.545785257315373,0.26221216502203415,-4.591419563115666,3.9524779292603727
